,company_name,max_wages,min_wages,place,place2,education,treatment,requirement
10,Web前端开发工程师,0.0,0.0,中国科学院软件园区5号楼8层,北京-海淀区,本科,"五险一金,定期体检,年终奖金,专业培训,餐饮补贴","1. 负责公司行业应用产品的前端功能开发；2. 根据需求文档设计界面原型，并按计划完成开发任务；3. 负责对已有系统代码的规范和优化；4. 负责前端架构体系的规划、建设;5. 负责解决前台页面兼容性、稳定性和性能问题 。任职要求：1、熟练掌握CSS3、HTML5和jsp技术，善于跨浏览器开发。2、熟练掌握Javascript语言核心技术DOM、BOM、Ajax、JSON等,有后端接口对接工作经验；3、熟练使用Jquery、Bootstarp等前端框架,熟悉React、vue等框架，了解webpack、npm等工具；4、熟悉常用前端Javascript可视化工具，如ECharts、Highcharts、D3等，至少熟悉其中一种；5、优化页面代码，优化网站访问速度，提供优异的用户体验；6、具有强烈的上进心和求知欲，善于学习新事物；强烈的责任心与团队合作能力；职能类别：Web前端开发关键字：前端开发webweb前端微信分享"
11,Web前端开发工程师,0.0,0.0,北京市昌平区回龙观华北电力大学主楼D座1441室,北京-昌平区,大专,"五险一金,股票期权,年终奖金,绩效奖金","一、岗位职责：职位描述1.负责前端界面的开发及制作，以及前端与业务层交互开发和维护。2.持续的优化前端体验和页面响应速度，优化代码并保持良好兼容性，提升web界面的友好和易用。3.根据产品需求，分析并给出最优的页面前端结构解决方案。4.确保产品具有优质的用户使用体验和高性能。5.配合后台开发人员完成项目。二、任职要求1.本科及以上学历，计算机及相关专业，3年以上互联网工作经验。2.精通Bootstrap、Angular技术，包括HTML/HTML5/XHTML/XML/CSS等。3.有网站设计的经验，对行业内的网站有自己的理解，精通各种设计软件的基本操作。能够理解客户需求并且可以形成设计图的优先考虑。4.精通Div、CSS布局的html代码编写，熟练手写标准css样式表，兼容各浏览器,精通html/xhtml、css，熟悉页面架构和布局，对web标准和标签语义化有深入理解。5.熟练使用html5 canvas，对html5/css3方面有实际的理解和实践经验。6.熟练使用PhotoShop 对页面图片进行修改和设计图片图标等。7.熟悉jquery mobile 移动前端框架。8.精通Ajax、JavaScript、JQuery等前端脚本语言技术，掌握面向对象编程思想,精通前端展现框架的一种: jquery, prototype ext等js框架。9.对用户可用性，用户体验，用户研究等相关知识有深入的了解和实践经验。10.具有良好的分析和解决问题能力，对攻关疑难问题具有浓厚兴趣。11.熟练掌握Bootstrap、AngularJs技术者优先；bootstrap无实际开发经验者勿投。职能类别：Web前端开发软件工程师关键字：前端开发web前端微信分享"
12,Web前端开发工程师,0.0,0.0,南瑞科技大厦,北京-海淀区,本科,"五险一金,员工旅游,定期体检,年终奖金,绩效奖金,节日福利,商业保险,人文关怀",1、 负责项目管理和跟踪，把握产品的整体设计和实现。2、 负责产品前端框架的设计和实现，并参与项目中重点模块的开发。3、 负责技术预研，疑难问题攻关。要求：1.计算机相关专业或电力相关专业统招本科或以上学历，学信网可验证。2.3年以上前端设计与开发经验，能独立负责项目的研发工作。3.精通JS/H5/CSS3/等web开发技术，熟悉页面架构和布局，有一定美感和用户体验能力。4.精通掌握VUE框架及生态圈技术，精通Element组件库，具备实战经验和优化经验。5.了解前端工程化，模块化，前后端分离，多端技术，安全，测试，函数式编程等。6.具有很强的分析和解决问题的能力，攻克难题的强烈兴趣，有较强的学习能力。7.具备良好的代码规范和质量意识；具有文档撰写能力；熟练使用Git/Svn版本管理工具。职能类别：Web前端开发关键字：前端前端开发webweb前端vue开发微信分享
13,Web前端开发工程师,0.0,0.0,丰台广安路国投财富广场,北京,大专,"五险一金,弹性工作,定期体检,大牛大队,晋升机制,带薪年假,周末双休","外派单位：国网新能源云技术有限公司,2020年04月28日成立，由中国电力科学研究院、国网能源研究院、国网电子商务有限公司3方合资成立，目前主要有新能源云、电商扶贫、光伏扶贫等主营业务线技能要求：Vue，HTML5，Node.js，Web前端岗位职责：1、配合设计师、产品人员实现产品UI和交互方面需求的开发，实现Web界面并保持良好兼容性；2、与后台开发工程师合作，完成并优化前端交互流程，优化代码提高web性能和用户体验；3、参与多平台的应用开发，包括Web、H5、混合APP等产品，负责前端交互的实现。任职资格：1、计算机或相关专业专科以上学历， 有5年以上Web前端开发经验；2、熟悉DIV+CSS排版设计，理解Web标准和兼容性，能编写符合W3C标准、兼容多种浏览器的前端页面代码；3、掌握各种当前常用布局如:弹性布局及响应式布局，能够有效解决和改善各种手机适配问题；4、熟悉HTML5、CSS3.0、Javascript、ajax、jsonp等Web前端技术，能够自主编写javascript实现相关的前台功能；5、熟练使用elementUI，vux，vue,echarts等前端框架；6、熟悉页面性能的优化，熟悉使用Firebug、Chrome等开发调试工具；7、有APP开发经验的优先；8、具有良好的沟通能力和团队合作精神；9、思路清晰，优秀的分析问题和解决问题的能力。职能类别：Web前端开发关键字：前端开发webweb前端微信分享"
14,Web前端开发工程师,0.0,0.0,北京市首都机场国门商务区李天路22号,北京,大专,无,职责描述：1、负责前端框架设计与平台搭建，各类交互设计与开发和测试工作；2、通过用户需求，对现有项目进行优化和重构，并能灵活支持各业务端需求；3、可基于Vue框架，进行独立项目的前端开发；4、使用GL、canvas等进行三维效果的功能模块开发。任职要求：1、大专或以上学历，计算机或相关专业，2-3年以上web开发经验者；2、有扎实的前端基础，包括但不限于ES5、ES6、HTML、CSS、JavaScript、canvas等，以及前端页面渲染技术；3、熟练使用Vue框架，了解其原理，及兼容性；4、熟悉常见的前端框架、库、工具，例如：ant、EChars、highchart、bootstrap、elementUI、layUI、webpack等，有平台级项目者优先；5、具备良好的服务意识、责任心、较强的学习能力、及团队协作能力；6、对前端有强烈兴趣，对后台交互、跨域、及复杂性交互有了解或项目经验，具备独立分析、独立解决的优秀素养；7、具备监控监管平台、管理后台、系统经验者优先。职能类别：Web前端开发微信分享
15,Web前端开发工程师3826 (职位编号：003826),0.0,0.0,北京市东城区东直门东方银座,北京-东城区,本科,"五险一金,带薪年假,定期体检,免费班车,节日福利","岗位职责:1、根据设计或者需求制作出符合要求的兼容（PC、移动H5）前端页面，要求严格复原UI；2、Web或者移动端产品功能设计与研发工作；3、平台易用性改进和Web界面技术优化；4、Web前沿技术调研,并给出应用建议；5、配合后台开发人员实现产品功能与操作流程；6、根据项目规范,制作符合业务需求的web模板&插件，及配合公司产品实现前端组件化、服务化。任职要求:1、三年以上Web前端开发经验；2、精通移动H5（wap、微信）等移动Web开发、精通移动Web及PC Web兼容性处理及性能提升；3、精通Vue.js，能够基于Vue.js全家桶进行进行应用开发、熟练使用Vue过滤器、指令等4、对前端数据渲染、大数据重绘和回流及大型业务站有开发维护经验者优先5、熟悉各种常见跨浏览器、跨设备问题，深刻理解Web标准，对可用性、可访问性等相关知识有实际的了解和实践经验；6、有小程序开发经验，研究过小程序运行环境底层架构。职能类别：Web前端开发微信分享"
16,Web前端开发工程师,0.0,0.0,北京市海淀区上地十街辉煌国际大厦1号楼505,北京-海淀区,本科,"五险一金,交通补贴,通讯补贴,餐饮补贴",岗位职责：1.根据产品需求和设计图，开发前端页面；2.配合后端工程师完成数据交互任职要求：1.本科以上学历，2年以上B/S开发经验。2.熟练掌握VUE、NodeJS、React等前端框架；3.精通Javascript、ES6、CSS3、HTML5、XML、bootstrap、Ajax、jQuery等Web前端技术。4.熟练掌握ECharts、D3等前端可视化组件及draggable拖拽的实际使用经验者优先；5.具有Java后端开发经验，在项目中使用过springboot框架，可以独立完成接口对接、研发者优先；6.熟练Postgresql等常用数据库，以及redis、elasticsearch等有数据搜索相关经验者优先；7.有一定美工能力者优先；8.工作主动，学习能力强，有较强的理解能力，具备丰富想象力和创造力；职能类别：Web前端开发关键字：web前端软件开发前端开发javaHTML5前台VUEbootstrapCSSH5微信分享
17,Web前端开发工程师 (职位编号：技术方向-软件开发类-华北-Web前端开发工程师),0.0,0.0,无,北京,本科,无,1-2020年10月1日至2021年9月30日期间毕业，统招本科及以上学历；2-丰富的编码实战经验，热爱计算机编程；3-有激情，有创造力，也有强悍的逻辑性，喜欢研究新技术、新标准；4-至少熟悉JSP/CGI/python/php/nodejs或一种其他类似后台技术，对前后端联合开发的技术原理有全面认识；5-熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术；6-对DNS/HTTP和相关的其他底层网络协议有比较全面的了解。职能类别：Web前端开发微信分享
18,Web前端开发工程师,0.0,0.0,翠枫路7号院7号楼7层,北京-房山区,大专,无,岗位职责：1、负责公司产品或项目的前台页面开发；2、与后端人员配合完成前后端联调；3、参与项目需求整理分析、参与设计项目原型。任职要求：1. 大专及以上学历，本科优先；2. 计算机或者相关专业；3.至少2年相关工作经验；4.熟练使用Vue框架；5.熟练使用jQuery ；6.熟练使用css+div布局、css3，熟练应用响应式布局 ；7.熟练掌握主流MV*框架比如 AngularJS、ReactJS中的一种，并有实施经验优先；8.有后端技术（java）开发经验优先；9.有责任心，学习能力强，具有良好的团队合作精神，对工作有热情。职能类别：Web前端开发关键字：前端开发webweb前端微信分享
19,Web前端开发工程师,0.0,0.0,中国航天科工二院东区86号楼,北京-海淀区,本科,"五险一金,餐饮补贴,年终奖金,定期体检,专业培训",1、负责产品前端的开发及日常维护；2、根据产品需求完成架构和模块设计、编码、测试工作;3、能按照项目计划，提交高质量的代码，完成开发任务;4、编写相关技术文档。基本要求：1、熟悉Javascript 、TypeScript 、HTML5、CSS3、SASS、LESS2、熟悉React、Ant Design等；3、熟悉Canvas绘图，对前端图像处理显示有独特的理解；4、熟悉GIS地图开发，熟悉各种图表插件Highchart、EChart职能类别：Web前端开发微信分享
